bowler_name,bowler,average_runs_per_delivery
Nawroz Mangal,318334,2.333
Lendl Simmons,53116,2
Michael Leask,414966,1.6
Steven Smith,267192,1.583
Wayne Parnell,265564,1.45
Xavier Doherty,5017,1.429
Mitchell McClenaghan,319439,1.417
Grant Elliott,44956,1.388
Dushmantha Chameera,552152,1.387
Max Sorensen,531953,1.362
Kevin O'Brien,24605,1.342
Matt Machan,297488,1.291
Yasir Shah,43685,1.25
Seekkuge Prasanna,268740,1.241
Khurram Khan,25589,1.238
Kyle Coetzer,25446,1.234
Nikita Miller,52622,1.22
Kamran Shazad,623104,1.204
Asghar Stanikzai,320652,1.2
Krishna Chandran,290645,1.172
Virat Kohli,253802,1.167
Rohit Sharma,34102,1.167
Iain Wardlaw,509107,1.159
Steven Finn,210283,1.136
Solomon Mire,290462,1.122
Nuwan Kulasekara,49535,1.12
Faf du Plessis,44828,1.116
Tinashe Panyangara,55705,1.11
Thisara Perera,233514,1.098
Sachithra Senanayake,273439,1.093
Shane Watson,8180,1.089
Rilee Rossouw,318845,1.083
Sabbir Rahman,373538,1.082
Kemar Roach,230553,1.077
Haris Sohail,318788,1.071
Rohan Mustafa,307808,1.068
Amjad Javed,25613,1.067
Chris Woakes,247235,1.048
Taskin Ahmed,538506,1.048
Nasir Aziz,447290,1.042
Sean Williams,55870,1.04
Sulieman Benn,51248,1.034
Hamilton Masakadza,55608,1.03
Darren Sammy,53115,1.024
Corey Anderson,277662,1.021
Stuart Thompson,414821,1.019
Joe Root,303669,1.018
Gulbadin Naib,352048,1.018
Aftab Alam,440963,1.018
Andre Russell,276298,1.012
AB de Villiers,44936,1.012
Suranga Lakmal,49619,1.009
George Dockrell,348034,1.007
Angelo Mathews,49764,1.005
Dawlat Zadran,516561,1.004
Jason Holder,391485,1.003
Tafadzwa Kamungozi,235521,1
Fahad Alhashmi,220521,1
Javed Ahmadi,308235,1
John Mooney,24237,1
Kane Williamson,277906,1
Shaiman Anwar,43121,1
Mohammad Naveed,533862,0.997
Samiullah Shenwari,318339,0.99
Elton Chigumbura,55343,0.989
Pat Cummins,489889,0.988
Josh Davey,407265,0.972
Tim Southee,232364,0.968
Taijul Islam,401057,0.967
Sohail Khan,317252,0.964
Rubel Hossain,300619,0.962
Glenn Maxwell,325026,0.961
Mahmudullah,56025,0.952
Mohammad Nabi,25913,0.946
Farhaan Behardien,44410,0.942
Paul Stirling,303427,0.938
Richie Berrington,25490,0.93
Tendai Chatara,425639,0.927
Jerome Taylor,53191,0.925
Mitchell Marsh,272450,0.924
Jean-Paul Duminy,44932,0.922
Stuart Broad,10617,0.91
James Anderson,8608,0.908
Mashrafe Mortaza,56007,0.898
Nasir Hossain,300618,0.896
Wahab Riaz,43590,0.894
Mohammad Tauqir,25601,0.891
Ravindra Jadeja,234675,0.888
Tawanda Mupariwa,55652,0.885
Lasith Malinga,49758,0.881
Vernon Philander,46945,0.881
Rob Taylor,353431,0.879
Moeen Ali,8917,0.878
Chris Gayle,51880,0.876
Alasdair Evans,399259,0.876
Arafat Sunny,56268,0.875
Dale Steyn,47492,0.868
Shakib Al Hasan,56143,0.865
Andy McBrine,417381,0.863
Shapoor Zadran,319746,0.862
Hamid Hassan,311427,0.858
Mitchell Johnson,6033,0.847
Marlon Samuels,52983,0.839
Ehsan Adil,547092,0.838
Shahid Afridi,42639,0.827
Matt Henry,506612,0.811
Mohit Sharma,537119,0.806
Sikandar Raza,299572,0.805
Adam Milne,450860,0.803
Tillakaratne Dilshan,48472,0.799
Umesh Yadav,376116,0.799
Majid Haq,25451,0.798
Manjula Guruge,49013,0.793
James Faulkner,270484,0.778
Mohammed Shami,481896,0.772
Alex Cusack,293983,0.76
Rangana Herath,49178,0.758
Soumya Sarkar,436677,0.744
Morne Morkel,46538,0.739
Mohammad Irfan,429981,0.739
Trent Boult,277912,0.722
Ravichandran Ashwin,26421,0.722
Chris Jordan,288992,0.712
Suresh Raina,33335,0.711
Imran Tahir,40618,0.711
Josh Hazlewood,288284,0.708
Rahat Ali,323244,0.702
Kyle Abbott,297583,0.7
Tharindu Kaushal,465797,0.694
Daniel Vettori,38710,0.669
Bhuvneshwar Kumar,326016,0.656
Sohaib Maqsood,43266,0.649
Ravi Bopara,10582,0.633
Mirwais Ashraf,387420,0.625
James Tredwell,21646,0.619
Dwayne Smith,53118,0.6
Jeevan Mendis,49700,0.6
Mitchell Starc,311592,0.582
Michael Clarke,4578,0.467
